ticket_system,title,overall_text,pros_text,cons_text,overall_rating,ease_of_use,customer_service,features,value_for_money,likelihood_to_recommend,Ticket Creation and Assignment,Automated Ticket Routing,Status Tracking and Updates,Priority and SLA Management,Customer and Agent Portals,Knowledge Base Integration,Email Notifications and Alerts,Reporting and Analytics,Customizable Workflows,"Multi-Channel Support (Email, Chat, Phone)"
Zoho Desk,Excellent solution that meets all of our requirements.,"Zoho Desk is a top-tier platform for developing individualized customer service offerings. It's a separate platform connected to the company that has all the greatest capabilities for prioritizing requests, managing the requests, and closing more and more requests. I've been using Zoho Desk for quite some time now, and it's been invaluable for streamlining my operations and those of my customer service staff.","As a ticketing and customer service platform, Zoho Desk comes highly recommended from me. Because of how simple and straightforward it is to use, my staff has had no trouble adapting it for handling client concerns. We've been able to enhance productivity and optimize our processes because to the platform's many useful features, including as automation and connections to other Zoho products. We also like how quickly and effectively the customer service team responds to our inquiries and resolves any problems that may arise. In conclusion, Zoho Desk is an excellent option for any company that wants to boost its customer care procedures.","Although the program provides a great return on investment, the upfront fees might be prohibitive, especially for startups. One other thing that may be improved with Zoho Desk is the reporting capabilities. I need to export data to external programs to gain a full picture of my customer service performance because the present reporting options are inadequate.",5,5,5,5,4,10,1,-1,1,1,0,0,0,1,0,0
Zoho Desk,Offers multiple options to help customers get their issues resolved quickly,"Provides web-based customer support, reducing workloads and leaving our customers happy and confident in the support we provide them.","In the period I have used Zoho Desk, I have experienced huge internal and external support systems improvement while reducing the cost. It is easy to manage many requests from multiple sources quickly and seamlessly increasing productivity. Also, workflow management, incident management and knowledge management are key pillars while using Zoho Desk. It is affordable and easy to use.",Zoho Desk gives maximum scalability and return on investment. I have nothing to complain about so far.,5,5,5,5,5,9,1,0,0,0,0,1,0,0,1,0
Zoho Desk,"Zoho Desk isn't a favourite option of mine, but it works.","Zoho Desk is a great tool with many features, it seems some features may need ironing out or better documenting but otherwise it is a very useful tool that could be extremely valuable to many businesses in all different industries and niches. It is perfect for anyone who just wants a simple email ticketing solution but for those wanting to use the help desk knowledgebase solutions you may want to set aside some time to fully understand how it works and how to best use it.",Zoho Desk offers a range of tools to make sure that customer success rates are high. Their self service options are empowering and wouldn't be possible without their awesome ticketing tools which allow for agents to identify regular questions and support individual customers in a per-user tailored way. Being able to receive tickets in many different ways is also a great feature enabling customers to contact us in many different ways and always get the same level of support from the same great knowledgeable team. The ability to send branded emails directly from Zoho Desk with correct SPF records to keep the email safe is also a great feature that I couldn't be without.,Unfortunately the creation and customisation of the help desk and the posts within it come across as difficult to create and maintain even from the perspective of someone working in computer software. It is unclear what features are available for this and how they should be used to create a perfect self-service help desk to enable customers to get help immediately and free up time for agents to answer more complex and user specific problems.,3,3,4,3,3,5,1,0,1,0,1,1,0,0,-1,1
Zoho Desk,Keep your customers happy,"Zoho Desk is very responsive and fast, is packed with useful features and easy to use for everybody.","In my line of business the returning customers is very important and that why is important to keep them happy and respond to their issues as fast as we can. Zoho Desk integrates with ease with other Zoho Apps and make it a great deal, all the data about the customers can be acceded easily. The system is simple and intuitive and all my colleagues use it with ease, even the older non tech ones.","We have experienced slow loading some time ago, didn't happened again but it was very annoying (was not from the internet connection).",5,5,5,5,5,9,1,0,-1,0,1,1,0,0,0,1
Zoho Desk,A fantastic tool for answering customer queries,"Questions about orders or invoices, tickets, and customer administration. We were able to streamline our operations with the support of Zoho desk's improved visibility, timeliness, and visibility into the resolution of open questions.","Managing a staff to answer client questions and navigating the system itself is a joy thanks to the system's simplicity, intuitiveness, and the extensive personalization choices provided by its automation and workflow features.","Getting help, including clear responses to my inquiries, has proven challenging. In my experience as a ticketing system manager, I have never encountered anything more irritating.",4,5,4,5,5,9,1,0,0,0,1,0,-1,0,1,0
Zoho Desk,"For managing tickets and tasks, Zoho Desk provides all I need","Maintain the things we offer by attending to the routine upkeep tasks that clients email us about. Provide a formal record of the work completed, and check to see that our employees are following through.","Setup and use are breezes. Whenever a new customer is added, a ticket is created and an email is sent to our staff. To stay on top of things at work, a dashboard is invaluable.","Zoho Desk can do the job, but it lacks the sophistication of other Service Desk software. The SaaS model requires you to take into account that the product's degree of customizability can be limiting at times.",4,5,4,5,5,9,1,0,0,0,0,0,1,0,-1,0
Zoho Desk,Zoho Desk Best Customer Support,Great support solution for tickets and addressing customer needs,Easy features and smooth access to shortcut,Log in process is cumbersome and not intuitive,5,4,,4,5,9,1,0,0,0,1,0,-1,0,0,0
Zoho Desk,Pleased with Zoho Desk,Overall Zoho Desk is a great app in managing customers issues. Really helped the company with customers issues.,"Setting up the app was very easy an fast. It has a clean UI and everybody had no trouble learning how to use it. Is really fast, having 3000+ customers is not easy, every 5 minutes one needs support and Zoho Desk really make the support team a easy job.",There are some very small things but does not worth mentioning because they are far from a deal breaker. Other will not even notice them.,5,4,4,4,4,9,1,0,0,0,1,0,0,0,0,1
Zoho Desk,Streamlining Customer Service with Zoho Desk,"Pros:I was highly impressed with Zoho Desk's intuitive interface and comprehensive feature set. The platform is exceptionally user-friendly, making it easy for our team to manage tickets efficiently. One of the standout features is its automation capabilities, which significantly reduce the manual workload by routing tickets based on predefined rules. This has led to a faster response time and increased customer satisfaction. Additionally, the integration with other Zoho products and third-party tools is seamless, providing a unified approach to our customer service processes.","Cons:While Zoho Desk offers many advantages, one area that could see improvement is its mobile app. The app occasionally feels less responsive and lacks some of the functionalities available on the desktop version. This can be a drawback for teams that rely heavily on mobile access to provide timely customer support. Enhancing the mobile experience would make Zoho Desk even more robust for on-the-go users.",,4,4,5,5,5,9,1,1,1,0,0,-1,0,0,0,1
Zoho Desk,Simple view and works great!,"Pros:The basic view, the volume of incoming tickets it supports, the fact that it does not have problems/bugs/downtime.",Cons:The customization of the ticket layouts and of the reporting could be improved.,,5,5,5,4,5,8,1,0,0,0,0,0,0,1,-1,0
